pub-uid	0	1	2	3	4	5
10.1038_s41598_017_17705_3	0.07252680823629175	0.0985162764525185	0.16685550933743823	0.3552752326743356	0.0014970019582174617	0.3053291713411985
10.3389_fmicb.2017.02452	0.061662181962016664	0.3280276556549787	0.600452552785862	0.0032768319019987092	0.0032824780907569316	0.003298299604387129
10.1007_s15010_017_1054_8	0.0017409605835056207	0.0017422931584990119	0.001745351347262964	0.001758909590133866	0.001740501551685406	0.9912719837689131
10.1016_j.jgar.2017.07.002	0.0014491391298237003	0.6190684368144126	0.18898416310665822	0.18759834699338676	0.0014441582920225614	0.0014557556636961538
10.1016_j.ijid.2017.09.019	0.0014762376866118152	0.001475787540874938	0.29361679774980365	0.0014712496150040579	0.0014683936006096628	0.7004915338070958
10.1016_j.ijid.2017.10.013	0.0016736826482067777	0.1234947741485415	0.0016761087540424022	0.001674013697910728	0.001676328708629229	0.8698050920426694
10.1007_s11094_017_1690_4	0.0023561804496814187	0.9882049431530198	0.0023583259668703556	0.002363798532719569	0.002357248269629429	0.002359503628079366
10.5588_ijtld.16.0953	0.0012599596454638917	0.2002973109326021	0.001258266188325091	0.001262387699968676	0.0012639823044915362	0.7946580932291488
10.1093_jac_dkx316	0.0012398890858422056	0.9937797902556313	0.0012425585379277665	0.001244636359247287	0.001249954733587627	0.0012431710277636815
10.1016_j.jgar.2017.06.010	0.0013738373809105606	0.001381353488506934	0.0013771767628256593	0.04812182825616902	0.001371198558250885	0.9463746055533369
10.1097_INF.0000000000001691	0.0011382793125004206	0.0011379593969064411	0.09738560737889512	0.0011416235657116837	0.0011365336390785085	0.8980599967069077
10.1016_j.diagmicrobio.2017.08.016	0.0016471219094775418	0.5457106855592861	0.001640177677134458	0.4477205053206914	0.0016366920307178399	0.0016448175026925087
10.1007_s10096_017_3082_9	0.0014138950907485372	0.13958192301569086	0.14091561778699738	0.5681636942129646	0.0014127542873980238	0.14851211560620067
10.3389_fmicb.2017.02358	0.10415252892304476	0.7794308770839888	0.0012128235335072445	0.0012141915834792427	0.0012133604222641025	0.11277621845371581
10.1186_s13063_017_2292_x	0.001239715690478868	0.4066148095186236	0.001241134711470589	0.0012318858527779126	0.0012332385990017178	0.5884392156276473
10.2807_1560_7917.ES.2017.22.47.17_00103	0.0012876659714359967	0.0012801850049668957	0.4297771556411628	0.04203843639860861	0.08196980296793212	0.4436467540158936
10.1016_j.neucom.2016.08.151	0.035642401763372744	0.0784030632260331	0.5891000354114786	0.22686058049325875	0.0010612681035666674	0.06893265100229012
10.3389_fmicb.2017.02296	0.01940806672699982	0.8257414956005128	0.0009995211048779945	0.000995130855914855	0.1518576168777896	0.0009981688339049364
10.3389_fcimb.2017.00478	0.0009241809742085527	0.9679896475418176	0.000924105139992679	0.02831617620094045	0.0009209230484905055	0.0009249670945500947
10.1186_s12879_017_2810_1	0.0007994828144783606	0.0007986091802406962	0.04823159985606506	0.0008043942283293841	0.0007984935150107031	0.9485674204058757
10.1038_emi.2017.83	0.06410015302934507	0.0010102554807760549	0.14165489274207022	0.2426832640575899	0.0010162696016527567	0.5495351650885659
10.1186_s12879_017_2761_6	0.4838084033661032	0.45384307177632327	0.001132345813179708	0.05894122757646119	0.001131899467353713	0.001143052000578966
10.1007_s10096_017_3025_5	0.20511211119121775	0.10520571362485487	0.0013335139572167828	0.13221456002661314	0.2603552615715713	0.2957788396285262
10.1016_j.meegid.2016.07.001	0.5866802226124407	0.14225104292131935	0.13358956320410678	0.013311405702431325	0.0012329909337446647	0.12293477462595728
10.1016_j.meegid.2016.09.012	0.19729109475493817	0.7476443788782045	0.0010209985802026764	0.001018584541118989	0.0010128636917779374	0.052012079553757945
10.5588_ijtld.17.0468	0.03361555242920253	0.002480235117351547	0.567278335834646	0.002463546200886605	0.002470966782907904	0.3916913636350054
10.5588_ijtld.16.0826	0.001590822224065629	0.001597852242317757	0.06994462577334193	0.05941911032006478	0.0016373485828549044	0.8658102408573549
10.5588_ijtld.17.0230	0.0014229939000435057	0.001419882603684955	0.0014317691207395519	0.20372963808536154	0.0014251607231658163	0.7905705555670046
10.5588_ijtld.16.0839	0.11148010565210376	0.001262776572333168	0.7403221233469796	0.032028445712216955	0.0012649117352062837	0.11364163698116023
10.1128_JCM.01013_17	0.0986320089968003	0.2904911911322081	0.4670024254311202	0.0014815087454892399	0.09144503171834324	0.05094783397603888
10.1016_j.kjms.2017.06.011	0.37548678635657323	0.36278425909975304	0.15249507595276982	0.016967584815382377	0.0011545841293211891	0.09111170964620036
10.1590_0074_02760170062	0.185210037782702	0.07314442945510252	0.03406746021216539	0.7047298569582016	0.0014230649288590983	0.0014251506629693927
10.7196_SAMJ.2017.v107i11.12577	0.017215874482487594	0.051863901822065316	0.3820063240205581	0.0012025157053377786	0.11315069785612698	0.43456068611342424
10.1111_lam.12787	0.001264785451322997	0.40627796869098903	0.03063183641189367	0.33610246823087614	0.0012643753638650812	0.22445856585105323
10.3346_jkms.2017.32.11.1779	0.0021743067901775536	0.0021751952582397364	0.3667215381186221	0.002179441059936851	0.5272873576750764	0.09946216109794742
10.1093_cid_cix561	0.0012461008113524435	0.0012417786115618964	0.4103301532427647	0.043650512377668794	0.0012385603995143787	0.5422928945571378
10.1111_ijd.13708	0.0016569363205415175	0.0016676763447495255	0.16515016010981434	0.4720292208753857	0.35782433053090723	0.0016716758186016807
10.1371_journal.pone.0187211	0.3384014327396953	0.2768928567990948	0.10355303004354163	0.05473760450145579	0.0009556255103264159	0.22545945040588594
